scenario,window,mean,std,ci95,n
Baseline,3,0.686395,0.006310227808882936,0.0008798879712729277,200
Baseline,6,0.79845,0.005544141051596722,0.000773066071477372,200
Baseline,9,0.8199,0.005425863986500201,0.0007565737086011231,200
Baseline,tier_low_3yr,0.6417208154086008,0.014062153084110239,0.0019608039081393234,200
Baseline,tier_high_3yr,0.73966751583751,0.01258858670393273,0.001755332192686327,200
Baseline,tier_spread_3yr,0.09794670042890939,0.02002492357945694,0.00279224299294242,200
SMI Low  (a=0.00),3,0.51181,0.007117155330607874,0.00099240464128211,200
SMI Low  (a=0.00),6,0.6518100000000001,0.00612567547295807,0.0008541542917024342,200
SMI Low  (a=0.00),9,0.682445,0.006378634258209172,0.0008894264560539234,200
SMI Low  (a=0.00),tier_low_3yr,0.43570417881381274,0.013601700743878451,0.0018965991776945538,200
SMI Low  (a=0.00),tier_high_3yr,0.6107155312185119,0.013773859810228896,0.001920604759777358,200
SMI Low  (a=0.00),tier_spread_3yr,0.17501135240469917,0.019149116360767413,0.002670121849266099,200
RCS Low  (g=0.00),3,0.671255,0.0063608155923592065,0.0008869418500744934,200
RCS Low  (g=0.00),6,0.7791750000000001,0.005594137556406711,0.000780037503336943,200
RCS Low  (g=0.00),9,0.801285,0.005459283377880288,0.0007612336545449457,200
RCS Low  (g=0.00),tier_low_3yr,0.6703009635071325,0.012738209495798493,0.0017761953530631412,200
RCS Low  (g=0.00),tier_high_3yr,0.6683168734512316,0.013477113259511127,0.001879226900149891,200
RCS Low  (g=0.00),tier_spread_3yr,-0.0019840900559010203,0.018137329170820043,0.002529039878078069,200
RED3 Low (dr3=0.50),3,0.684065,0.006324616589169624,0.0008818943195505165,200
RED3 Low (dr3=0.50),6,0.775225,0.005736233520351143,0.0007998511349882653,200
RED3 Low (dr3=0.50),9,0.80054,0.005677006253299358,0.0007915925805543232,200
RED3 Low (dr3=0.50),tier_low_3yr,0.6380474802969316,0.01349259546454283,0.0018813857138074582,200
RED3 Low (dr3=0.50),tier_high_3yr,0.7383281112305834,0.012575060617835346,0.0017534461370927817,200
RED3 Low (dr3=0.50),tier_spread_3yr,0.10028063093365183,0.01861554146119884,0.002595721027279505,200
RED6 Low (dr6=0.40),3,0.6855450000000001,0.007024811385368256,0.0009795283507428292,200
RED6 Low (dr6=0.40),6,0.79726,0.006022657220861907,0.0008397895930597996,200
RED6 Low (dr6=0.40),9,0.8093299999999999,0.0059431557273892455,0.0008287040332474652,200
RED6 Low (dr6=0.40),tier_low_3yr,0.6407750254426402,0.012541445358365561,0.0017487588796189634,200
RED6 Low (dr6=0.40),tier_high_3yr,0.7397622023019216,0.012578821536284647,0.0017539705534854544,200
RED6 Low (dr6=0.40),tier_spread_3yr,0.0989871768592814,0.016843019578477506,0.002348563439525057,200
SMD3 Low (ds3=0.50),3,0.68372,0.006676945409391903,0.000931022481042557,200
SMD3 Low (ds3=0.50),6,0.789845,0.005911934962429819,0.0008243506602197802,200
SMD3 Low (ds3=0.50),9,0.811985,0.0056289230763974345,0.0007848879400472033,200
SMD3 Low (ds3=0.50),tier_low_3yr,0.6386913782798139,0.013906873853035934,0.001939152023017449,200
SMD3 Low (ds3=0.50),tier_high_3yr,0.7384355069902964,0.013561962174931554,0.0018910580958396714,200
SMD3 Low (ds3=0.50),tier_spread_3yr,0.09974412871048234,0.020290180487618176,0.0028292299876844433,200
SMD6 Low (ds6=0.10),3,0.686325,0.006857796657819441,0.0009562400869516615,200
SMD6 Low (ds6=0.10),6,0.7988200000000001,0.005480656894935135,0.0007642139432333957,200
SMD6 Low (ds6=0.10),9,0.8199,0.005342284155677222,0.0007449194720173595,200
SMD6 Low (ds6=0.10),tier_low_3yr,0.6416018726606936,0.013980876032187829,0.001949470767325234,200
SMD6 Low (ds6=0.10),tier_high_3yr,0.7390787240496745,0.012038548998431394,0.0016786358236367189,200
SMD6 Low (ds6=0.10),tier_spread_3yr,0.09747685138898092,0.018471832446235893,0.002575682474400103,200
SMI High (a=2.00),3,0.756875,0.00655128804129387,0.0009135010206389195,200
SMI High (a=2.00),6,0.8486,0.0053581713298475305,0.0007471347539173717,200
SMI High (a=2.00),9,0.867245,0.005005494481067784,0.0006979580638855306,200
SMI High (a=2.00),tier_low_3yr,0.726972404467642,0.013179015031346253,0.0018376605648028827,200
SMI High (a=2.00),tier_high_3yr,0.7914798506135319,0.012155062163255511,0.0016948822311086272,200
SMI High (a=2.00),tier_spread_3yr,0.06450744614588988,0.019043149891835223,0.0026553460560307975,200
RCS High (g=3.00),3,0.70749,0.007686345035190656,0.0010717715341428985,200
RCS High (g=3.00),6,0.821515,0.006634740009977773,0.0009251374283325763,200
RCS High (g=3.00),9,0.84185,0.006063621030374513,0.0008455015204797445,200
RCS High (g=3.00),tier_low_3yr,0.6129259724792504,0.015056913283914551,0.0020995116633295142,200
RCS High (g=3.00),tier_high_3yr,0.8151648654915351,0.011928260920991574,0.0016632574322928263,200
RCS High (g=3.00),tier_spread_3yr,0.20223889301228468,0.018206241168092815,0.0025386488556479988,200
RED3 High (dr3=1.00),3,0.687805,0.006838638387866364,0.0009535686887402718,200
RED3 High (dr3=1.00),6,0.8071649999999999,0.0057495891157542485,0.0008017134176348345,200
RED3 High (dr3=1.00),9,0.8271,0.005535341001239222,0.0007718390066723167,200
RED3 High (dr3=1.00),tier_low_3yr,0.6440005579251898,0.014519333842214521,0.0020245524544575916,200
RED3 High (dr3=1.00),tier_high_3yr,0.7407836745138855,0.01259438571146402,0.0017561407969279867,200
RED3 High (dr3=1.00),tier_spread_3yr,0.09678311658869557,0.016491649674372236,0.002299568987747209,200
RED6 High (dr6=1.00),3,0.6865199999999999,0.0067148790011436164,0.0009363118797933478,200
RED6 High (dr6=1.00),6,0.799195,0.005415438578730263,0.0007551200065843003,200
RED6 High (dr6=1.00),9,0.825055,0.005077595395460337,0.0007080116989068338,200
RED6 High (dr6=1.00),tier_low_3yr,0.6420885824945509,0.013809787460246963,0.0019256144532534794,200
