scenario,window,mean,std,ci95,n
SMI High (α=2.00),6,0.8337749999999999,0.006683889212127927,0.0009319907136781076,200
SMI High (α=2.00),9,0.8481350000000001,0.006468135357272611,0.000901906344715117,200
SMI High (α=2.00),tier_low_3yr,0.5759588652289541,0.017290860914747092,0.0024110097119508637,200
SMI High (α=2.00),tier_high_3yr,0.9528635007046756,0.01356445633416748,0.0018914058773741257,200
SMI High (α=2.00),tier_spread_3yr,0.3769046354757215,0.02179662639042834,0.0030392863706552972,200
SMD3 High (δs3=1.00),3,0.7023699999999999,0.0081794315205887,0.0011405267170680276,200
SMD3 High (δs3=1.00),6,0.7988550000000001,0.007055776002680354,0.0009838460069563864,200
SMD3 High (δs3=1.00),9,0.8152949999999999,0.006872988796731704,0.0009583584542581462,200
SMD3 High (δs3=1.00),tier_low_3yr,0.5222216034397359,0.016533257617962364,0.0023053707321823024,200
SMD3 High (δs3=1.00),tier_high_3yr,0.9210316724239876,0.014933423829398069,0.0020822924932933466,200
SMD3 High (δs3=1.00),tier_spread_3yr,0.3988100689842519,0.02128043409430697,0.0029673093508111674,200
SMD6 High (δs6=0.80),3,0.701005,0.007544864147219615,0.0010520436676916287,200
SMD6 High (δs6=0.80),6,0.798175,0.006776014684163548,0.0009448365406667744,200
SMD6 High (δs6=0.80),9,0.8148400000000001,0.00664863895846357,0.0009270754752551896,200
SMD6 High (δs6=0.80),tier_low_3yr,0.5211056208164564,0.015597020649808118,0.0021748233618670326,200
SMD6 High (δs6=0.80),tier_high_3yr,0.921168285343949,0.012930414499338147,0.0018029961082426835,200
SMD6 High (δs6=0.80),tier_spread_3yr,0.40006266452749256,0.019892835143140802,0.00277382479477607,200
RCS Low  (γ=0.00),3,0.6782950000000001,0.006569472962118032,0.0009160366966202536,200
RCS Low  (γ=0.00),6,0.7888550000000001,0.00579344241362595,0.0008078282506435003,200
RCS Low  (γ=0.00),9,0.8148499999999999,0.005614935440412437,0.0007829375266829793,200
RCS Low  (γ=0.00),tier_low_3yr,0.7055962365970164,0.011388103296990866,0.0015879387258460422,200
RCS Low  (γ=0.00),tier_high_3yr,0.6253447397463957,0.020822841712199072,0.002903503408306829,200
RCS Low  (γ=0.00),tier_spread_3yr,-0.08025149685062063,0.022609119168617433,0.003152579051034972,200
RCS High (γ=3.00),3,0.7034699999999999,0.009627517852489286,0.0013424455357532153,200
RCS High (γ=3.00),6,0.767055,0.00959541426932679,0.0013379690639815185,200
RCS High (γ=3.00),9,0.7760900000000001,0.009582374444781428,0.0013361508119132143,200
RCS High (γ=3.00),tier_low_3yr,0.3531359743815432,0.0252247360276885,0.0035172964402416726,200
RCS High (γ=3.00),tier_high_3yr,0.999730455372827,0.0012419279807944822,0.00017317243126310918,200
RCS High (γ=3.00),tier_spread_3yr,0.6465944809912838,0.025121656100933462,0.003502923141784242,200
OFF Violent Low,3,0.682575,0.008275528684017685,0.0011539263502881763,200
OFF Violent Low,6,0.7798999999999999,0.007111258679024416,0.0009915824217115632,200
OFF Violent Low,9,0.7971950000000001,0.0067079784585223606,0.0009353496792783121,200
OFF Violent Low,tier_low_3yr,0.5127235683123782,0.0173779478539218,0.002423152974057334,200
OFF Violent Low,tier_high_3yr,0.9004413640967249,0.014527696394755815,0.0020257185152739478,200
OFF Violent Low,tier_spread_3yr,0.3877177957843467,0.02236136555829795,0.003118032687866802,200
OFF Drug Low,3,0.6852799999999999,0.007406861683601191,0.0010328008271125696,200
OFF Drug Low,6,0.7838900000000001,0.006650406002643754,0.0009273218690409518,200
OFF Drug Low,9,0.8005500000000001,0.006466645188967763,0.000901698558054109,200
OFF Drug Low,tier_low_3yr,0.5115431809423936,0.014712307679644902,0.0020514604145927783,200
OFF Drug Low,tier_high_3yr,0.9135361395345128,0.014130825600070512,0.001970379492821929,200
OFF Drug Low,tier_spread_3yr,0.40199295859211936,0.020664947780261293,0.002881486933520694,200
OFF Property Low,3,0.68302,0.007391860388291946,0.001030709070729775,200
OFF Property Low,6,0.7828350000000001,0.006956850939900903,0.000970052056019381,200
OFF Property Low,9,0.8001150000000001,0.006855054704376907,0.000955857753393358,200
OFF Property Low,tier_low_3yr,0.4965744017439665,0.016069641955826736,0.0022407249132417205,200
OFF Property Low,tier_high_3yr,0.9218541243907934,0.013718653394791004,0.001912906866396628,200
OFF Property Low,tier_spread_3yr,0.425279722646827,0.020125282049566828,0.002806236815881861,200
OFF Other Low,3,0.67875,0.00785350240338664,0.0010950796875154663,200
OFF Other Low,6,0.777595,0.007030716535318437,0.0009803517553119026,200
OFF Other Low,9,0.795,0.006805879810869428,0.0009490008856864666,200
OFF Other Low,tier_low_3yr,0.5127011595479458,0.01516645110137023,0.00211478543963329,200
OFF Other Low,tier_high_3yr,0.8834516111146641,0.0158709576014513,0.0022130206878492585,200
OFF Other Low,tier_spread_3yr,0.3707504515667183,0.021864980824200658,0.0030488176024714877,200
OFF Violent High,3,0.71613,0.00769370521920356,0.0010727978263110186,200
OFF Violent High,6,0.81221,0.006684003291441402,0.0009320066207132794,200
OFF Violent High,9,0.82774,0.006349204674602955,0.0008853228424604126,200
OFF Violent High,tier_low_3yr,0.5300257248355905,0.015914554148203343,0.00221909971989659,200
OFF Violent High,tier_high_3yr,0.9290121938646136,0.013396616421581785,0.0018680025511145315,200
OFF Violent High,tier_spread_3yr,0.39898646902902324,0.020669305957974626,0.00288209463078025,200
OFF Drug High,3,0.7148249999999998,0.008388943616451367,0.0011697407452408671,200
OFF Drug High,6,0.80954,0.0069107452564828,0.0009636231540089338,200
OFF Drug High,9,0.8254400000000001,0.00668703222663088,0.0009324289705427474,200
OFF Drug High,tier_low_3yr,0.5348873180419745,0.01628394170679398,0.002270606524307715,200
OFF Drug High,tier_high_3yr,0.925270424620997,0.014489412194453403,0.0020203802282332687,200
OFF Drug High,tier_spread_3yr,0.3903831065790224,0.020134687240352174,0.0028075482604905493,200
OFF Property High,3,0.71654,0.00802174544597372,0.001118539225571183,200
OFF Property High,6,0.8088799999999999,0.007251592928453688,0.001011150402737004,200
OFF Property High,9,0.824595,0.006978608385631044,0.0009730858791020637,200
OFF Property High,tier_low_3yr,0.5498050876688378,0.017361155670405925,0.00242081149911625,200
OFF Property High,tier_high_3yr,0.9207211911613891,0.01314947078932887,0.0018335409634257537,200
OFF Property High,tier_spread_3yr,0.3709161034925513,0.02120679164400801,0.0029570407665134813,200
OFF Other High,3,0.72044,0.007935767133680278,0.0011065505486060104,200
OFF Other High,6,0.8142750000000001,0.007019926993922334,0.0009788472790905182,200
OFF Other High,9,0.8296549999999999,0.006671279862215351,0.0009302324862971517,200
OFF Other High,tier_low_3yr,0.5324499441585214,0.016261746324769802,0.0022675116360956933,200
OFF Other High,tier_high_3yr,0.9407648098243773,0.012600139099579868,0.0017569430400720574,200
OFF Other High,tier_spread_3yr,0.40831486566585584,0.01978101811865155,0.002758233209525673,200
All LOW  (best case),3,0.46454000000000006,0.006191801030394941,0.000863374732603239,200
All LOW  (best case),6,0.6014050000000001,0.005921230868662365,0.0008256468663669788,200
All LOW  (best case),9,0.6378450000000001,0.0059093971773777456,0.0008239967955720012,200
All LOW  (best case),tier_low_3yr,0.43630066799392253,0.011470025998850072,0.001599361895044248,200
All LOW  (best case),tier_high_3yr,0.4858199694298038,0.01812183370811866,0.0025268792157924595,200
All LOW  (best case),tier_spread_3yr,0.049519301435881215,0.020947061613202575,0.002920824430621084,200
All HIGH (worst case),3,0.7733,0.008616263691415214,0.0012014378892501508,200
All HIGH (worst case),6,0.8194750000000001,0.008136299834691416,0.0011345125044672848,200
All HIGH (worst case),9,0.82577,0.008044072351738261,0.0011216524532410793,200
All HIGH (worst case),tier_low_3yr,0.4007289018443083,0.02267778680579822,0.0031621539554284477,200
All HIGH (worst case),tier_high_3yr,0.9999687500000001,0.0004408354993645573,6.146938984594813e-05,200
All HIGH (worst case),tier_spread_3yr,0.5992398481556916,0.022702045776395466,0.003165536587097297,200
