scenario,window,mean,std,ci95,n
Baseline,3,0.7021600000000001,0.007534878897500611,0.0010506513406023375,200
Baseline,6,0.798695,0.00697868003278557,0.0009730958694655422,200
Baseline,9,0.8150749999999999,0.00704055218004948,0.0009817232217233648,200
Baseline,tier_low_3yr,0.5250270435131256,0.01607272899796628,0.0022411553654104323,200
Baseline,tier_high_3yr,0.9227116207012673,0.013826300417394756,0.0019279169933208973,200
Baseline,tier_spread_3yr,0.3976845771881419,0.022745040037361212,0.003171531637387601,200
SMI Low  (α=0.00),3,0.49113,0.0077300129365997896,0.0010778605157683386,200
SMI Low  (α=0.00),6,0.642425,0.00692490974670429,0.0009655982276421803,200
SMI Low  (α=0.00),9,0.67083,0.006631824786587782,0.000924730934292723,200
SMI Low  (α=0.00),tier_low_3yr,0.35398166170620754,0.012973226598140259,0.0018089657581351801,200
SMI Low  (α=0.00),tier_high_3yr,0.696597735957846,0.020558908168053,0.0028667009413051387,200
SMI Low  (α=0.00),tier_spread_3yr,0.3426160742516386,0.02378776310850568,0.0033169272578717364,200
SMD3 Low (δs3=0.50),3,0.6994,0.007905061669588662,0.001102269028298846,200
SMD3 Low (δs3=0.50),6,0.7902549999999999,0.007263606198025888,0.0010128255136382868,200
SMD3 Low (δs3=0.50),9,0.8071200000000001,0.007143920492278706,0.0009961367321854192,200
SMD3 Low (δs3=0.50),tier_low_3yr,0.5192176966375804,0.015463695815792215,0.0021562327624028714,200
SMD3 Low (δs3=0.50),tier_high_3yr,0.9186472533637666,0.013738893366481078,0.0019157290953506973,200
SMD3 Low (δs3=0.50),tier_spread_3yr,0.3994295567261861,0.0200531931928136,0.002796184862158306,200
SMD6 Low (δs6=0.10),3,0.7028749999999999,0.007707099000272412,0.0010746654335051292,200
SMD6 Low (δs6=0.10),6,0.7993950000000001,0.006446625086043084,0.0008989069872454809,200
SMD6 Low (δs6=0.10),9,0.815535,0.006416289815773565,0.0008946770861668085,200
SMD6 Low (δs6=0.10),tier_low_3yr,0.5254580435216204,0.015794530874198156,0.0022023638684711792,200
SMD6 Low (δs6=0.10),tier_high_3yr,0.922860757981941,0.013950906062591877,0.0019452918031823275,200
SMD6 Low (δs6=0.10),tier_spread_3yr,0.39740271446032055,0.021577902083068697,0.0030087878065939754,200
SMI High (α=2.00),3,0.756105,0.007910371356643133,0.001103009402483733,200
