scenario,window,mean,std,ci95,n
Baseline,3,0.686675,0.007049778365310465,0.0009830097060909257,200
Baseline,6,0.7990600000000001,0.005620177933126321,0.0007836685313975697,200
Baseline,9,0.820355,0.0052838409325035385,0.000736770243395129,200
Baseline,tier_low_3yr,0.6421379941001342,0.013679118270459641,0.0019073941525302642,200
Baseline,tier_high_3yr,0.740608370453825,0.013175033136083706,0.001837105335760367,200
Baseline,tier_spread_3yr,0.09847037635369091,0.018570916193029897,0.002589498551979738,200
SMI Low  (a=0.00),3,0.5111300000000001,0.006677806526098228,0.0009311425537649222,200
SMI Low  (a=0.00),6,0.6515900000000001,0.0059398569006332185,0.0008282440501739769,200
SMI Low  (a=0.00),9,0.6820050000000001,0.00586557541934291,0.000817886360427234,200
SMI Low  (a=0.00),tier_low_3yr,0.4343786460021805,0.013254276735530944,0.001848154935246433,200
SMI Low  (a=0.00),tier_high_3yr,0.6096783733771558,0.01299232458937282,0.0018116287511791634,200
SMI Low  (a=0.00),tier_spread_3yr,0.17529972737497534,0.017776212682292264,0.0024786863783143,200
RCS Low  (g=0.00),3,0.6718000000000001,0.006236184731067549,0.0008695635241215787,200
RCS Low  (g=0.00),6,0.780105,0.005653669162588138,0.0007883384943274518,200
RCS Low  (g=0.00),9,0.8024000000000001,0.005632938842203059,0.000785447891943527,200
RCS Low  (g=0.00),tier_low_3yr,0.6721903811626544,0.012086249890489023,0.0016852871589627448,200
RCS Low  (g=0.00),tier_high_3yr,0.6670391633950554,0.01278538566493522,0.0017827735218727855,200
RCS Low  (g=0.00),tier_spread_3yr,-0.005151217767598943,0.017767733109224554,0.002477504000344791,200
RED3 Low (dr3=0.50),3,0.684655,0.006384040648366797,0.000890180314363287,200
RED3 Low (dr3=0.50),6,0.775805,0.0058452523469906805,0.0008150525440510862,200
RED3 Low (dr3=0.50),9,0.8011750000000001,0.005604852808058389,0.0007815316207163824,200
RED3 Low (dr3=0.50),tier_low_3yr,0.6398900678864995,0.012929402642136578,0.0018028550165091882,200
RED3 Low (dr3=0.50),tier_high_3yr,0.7398275035961785,0.012075922958254675,0.0016838471882155142,200
RED3 Low (dr3=0.50),tier_spread_3yr,0.099937435709679,0.019019008748155784,0.002651979853957014,200
RED6 Low (dr6=0.40),3,0.68607,0.006893119758135605,0.0009611654829940212,200
RED6 Low (dr6=0.40),6,0.7972600000000001,0.005867912746454233,0.0008182122735436019,200
RED6 Low (dr6=0.40),9,0.8094499999999999,0.0057469557158551015,0.0008013462206072488,200
RED6 Low (dr6=0.40),tier_low_3yr,0.6413581949109861,0.013618205105977768,0.0018989005192822977,200
RED6 Low (dr6=0.40),tier_high_3yr,0.7393946587079503,0.012949815796571161,0.0018057013937853687,200
RED6 Low (dr6=0.40),tier_spread_3yr,0.09803646379696417,0.017201996312250244,0.002398618575342633,200
SMD3 Low (ds3=0.50),3,0.685005,0.006842146958374946,0.0009540579181437678,200
SMD3 Low (ds3=0.50),6,0.7909900000000001,0.005616929766340332,0.0007832156122684604,200
SMD3 Low (ds3=0.50),9,0.8129400000000001,0.005408918561043378,0.0007542108658513618,200
SMD3 Low (ds3=0.50),tier_low_3yr,0.6386826799969585,0.01408655846384593,0.0019642069548619083,200
SMD3 Low (ds3=0.50),tier_high_3yr,0.7383382974666668,0.011935150657542273,0.001664218126026841,200
