scenario,window,mean,std,ci95,n
Baseline,3,0.7023199999999999,0.008262420952723233,0.0011520986294124844,200
Baseline,6,0.7986850000000001,0.007215661785311169,0.0010061402221852526,200
Baseline,9,0.815165,0.007051792325359528,0.000983290529426543,200
Baseline,tier_low_3yr,0.521681158444639,0.019288205731040457,0.0026895162463531417,200
Baseline,tier_high_3yr,0.9224712320614455,0.013283233980034276,0.0018521926866385183,200
Baseline,tier_spread_3yr,0.4007900736168064,0.023504473980865737,0.003277425879577295,200
SMI Low  (α=0.00),3,0.49150999999999995,0.007330750302663439,0.0010221879791152552,200
SMI Low  (α=0.00),6,0.6432800000000001,0.006755116579304911,0.0009419225426869184,200
SMI Low  (α=0.00),9,0.6721550000000001,0.006768380530082514,0.0009437720465549626,200
SMI Low  (α=0.00),tier_low_3yr,0.3548880689511647,0.013876841971912596,0.0019349644260311842,200
SMI Low  (α=0.00),tier_high_3yr,0.6969305094158773,0.01831327043781425,0.002553572844108359,200
SMI Low  (α=0.00),tier_spread_3yr,0.3420424404647126,0.022745707284649974,0.003171624677271584,200
SMD3 Low (δs3=0.50),3,0.700835,0.007647076238667948,0.0010662959565959113,200
SMD3 Low (δs3=0.50),6,0.7909100000000001,0.007309028663235634,0.001019159148805524,200
SMD3 Low (δs3=0.50),9,0.80816,0.0071122710859471295,0.000991723590097287,200
SMD3 Low (δs3=0.50),tier_low_3yr,0.5209761166202488,0.0162324659255045,0.0022634288245256674,200
SMD3 Low (δs3=0.50),tier_high_3yr,0.9217580287816187,0.014388333734176662,0.002006286011028131,200
SMD3 Low (δs3=0.50),tier_spread_3yr,0.40078191216137005,0.02233352950918777,0.0031141512741490068,200
SMD6 Low (δs6=0.10),3,0.7027450000000001,0.0075126543245380316,0.0010475523820530242,200
SMD6 Low (δs6=0.10),6,0.79905,0.00725723776653349,0.001011937509839415,200
SMD6 Low (δs6=0.10),9,0.81518,0.006832100701833916,0.0009526570843617718,200
SMD6 Low (δs6=0.10),tier_low_3yr,0.5227100186529191,0.01798224430469109,0.0025074150948901706,200
SMD6 Low (δs6=0.10),tier_high_3yr,0.9209093844654345,0.015535843388787503,0.002166292903424361,200
SMD6 Low (δs6=0.10),tier_spread_3yr,0.3981993658125154,0.022565931107740328,0.003146556977598118,200
SMI High (α=2.00),3,0.75578,0.007955601799989748,0.0011093162624325932,200
SMI High (α=2.00),6,0.833555,0.006500536516319255,0.000906424309987355,200
SMI High (α=2.00),9,0.848425,0.0061314252013704015,0.0008549560245433588,200
SMI High (α=2.00),tier_low_3yr,0.5767033904395429,0.01650584687443534,0.002301548622387927,200
SMI High (α=2.00),tier_high_3yr,0.9519768907693361,0.01214945598957937,0.0016941005153081994,200
SMI High (α=2.00),tier_spread_3yr,0.37527350032979334,0.02000681930530105,0.0027897185622022223,200
SMD3 High (δs3=1.00),3,0.70231,0.0076729329464032174,0.001069901374150085,200
SMD3 High (δs3=1.00),6,0.79879,0.007058746347617257,0.0009842601870556902,200
SMD3 High (δs3=1.00),9,0.8151149999999998,0.006844835644484063,0.000954432824191155,200
SMD3 High (δs3=1.00),tier_low_3yr,0.5237704595379844,0.017081528248525216,0.002381820703157261,200
SMD3 High (δs3=1.00),tier_high_3yr,0.9215776453531254,0.01373456313571713,0.0019151252949686144,200
SMD3 High (δs3=1.00),tier_spread_3yr,0.3978071858151411,0.022246870769640662,0.0031020677195068374,200
SMD6 High (δs6=0.80),3,0.7018099999999999,0.007705446125955332,0.0010744349593806326,200
SMD6 High (δs6=0.80),6,0.7985099999999999,0.00708024717082674,0.000987258227108675,200
SMD6 High (δs6=0.80),9,0.814905,0.006968929257784117,0.0009717362371520638,200
SMD6 High (δs6=0.80),tier_low_3yr,0.5224630692066321,0.015960096802530657,0.0022254501140402108,200
SMD6 High (δs6=0.80),tier_high_3yr,0.9211089907716306,0.015455438513356503,0.002155081377491202,200
SMD6 High (δs6=0.80),tier_spread_3yr,0.39864592156499823,0.02238018251578708,0.0031206564940196215,200
RCS Low  (γ=0.00),3,0.678785,0.006201513928066266,0.0008647290833629965,200
RCS Low  (γ=0.00),6,0.78959,0.005573320374785578,0.0007771347891625904,200
RCS Low  (γ=0.00),9,0.8151150000000001,0.005448098292064821,0.0007596740242487414,200
RCS Low  (γ=0.00),tier_low_3yr,0.7063916282375274,0.011863151594304804,0.0016541786929660585,200
RCS Low  (γ=0.00),tier_high_3yr,0.6243294337884904,0.019789158400613516,0.0027593682772915342,200
RCS Low  (γ=0.00),tier_spread_3yr,-0.08206219444903719,0.023896087534803746,0.003332031840872771,200
RCS High (γ=3.00),3,0.7044949999999999,0.010184300417799937,0.0014200823971580734,200
RCS High (γ=3.00),6,0.767895,0.009792546910788846,0.0013654569210321862,200
RCS High (γ=3.00),9,0.7767050000000001,0.009557613457343845,0.0013326981798271744,200
RCS High (γ=3.00),tier_low_3yr,0.35491834612463735,0.022915745832906544,0.0031953345777371513,200
RCS High (γ=3.00),tier_high_3yr,0.9998814158517226,0.0008303245931056824,0.00011577911984371143,200
RCS High (γ=3.00),tier_spread_3yr,0.6449630697270853,0.02296989978400946,0.0032028857171913054,200
OFF Violent Low,3,0.683295,0.007776115675579904,0.0010842890072111093,200
OFF Violent Low,6,0.7801400000000001,0.006997885394888951,0.0009757738341302913,200
OFF Violent Low,9,0.79744,0.0067376850623934665,0.0009394919201300228,200
OFF Violent Low,tier_low_3yr,0.5152933835686548,0.014575490149361254,0.002032382799203618,200
OFF Violent Low,tier_high_3yr,0.9011847313876601,0.01548669314697099,0.0021594394731094327,200
OFF Violent Low,tier_spread_3yr,0.38589134781900525,0.020764329496440824,0.002895344559470067,200
OFF Drug Low,3,0.68514,0.0069792836308606564,0.000973180034205998,200
OFF Drug Low,6,0.78253,0.006493773941245574,0.0009054813474442617,200
OFF Drug Low,9,0.799475,0.006368624262743087,0.0008880306784576366,200
OFF Drug Low,tier_low_3yr,0.5111743311254151,0.016185391628159903,0.00225686486055414,200
OFF Drug Low,tier_high_3yr,0.9137931665978223,0.014748800505872864,0.002056548915326545,200
OFF Drug Low,tier_spread_3yr,0.4026188354724071,0.022063412994821754,0.003076486663768656,200
OFF Property Low,3,0.683405,0.008175633003015699,0.0011399970579142888,200
OFF Property Low,6,0.7831950000000001,0.007082158922249634,0.0009875247986385809,200
OFF Property Low,9,0.800365,0.007000126784566116,0.0009760863698858303,200
OFF Property Low,tier_low_3yr,0.4977477142130899,0.01509769481033414,0.0021051981734894537,200
OFF Property Low,tier_high_3yr,0.9197720438478261,0.015160006444505271,0.002113886807091613,200
OFF Property Low,tier_spread_3yr,0.42202432963473624,0.021436894006265785,0.002989125868168146,200
OFF Other Low,3,0.67946,0.00847516371523286,0.001181763136523319,200
OFF Other Low,6,0.77738,0.0071439204922787375,0.0009961367321854235,200
OFF Other Low,9,0.7947700000000001,0.0069149909616716115,0.0009642151682813739,200
OFF Other Low,tier_low_3yr,0.5131818724661737,0.01664818254498845,0.0023213956783415084,200
OFF Other Low,tier_high_3yr,0.8820497857875873,0.01686820799367622,0.0023520756714475845,200
OFF Other Low,tier_spread_3yr,0.36886791332141355,0.024571783835226787,0.003426249841392328,200
OFF Violent High,3,0.7151099999999999,0.008033548406526229,0.0011201850113225218,200
OFF Violent High,6,0.8104500000000001,0.0067362823575025065,0.000939296329226147,200
OFF Violent High,9,0.8263750000000001,0.0063682317011867625,0.0008879759403084199,200
OFF Violent High,tier_low_3yr,0.5270712536895725,0.016638714283392263,0.0023200754392408494,200
OFF Violent High,tier_high_3yr,0.9316404782557076,0.014054845779804086,0.0019597849894320836,200
OFF Violent High,tier_spread_3yr,0.404569224566135,0.021693647813617548,0.003024927204270358,200
OFF Drug High,3,0.7146250000000001,0.007376609993757302,0.0010285825803534197,200
OFF Drug High,6,0.809375,0.006401122948358323,0.0008925622426770413,200
